edge	sources	pmids
YJL084C (u) YGL206C	o'donnellaf2010	20739461
YGL206C (u) YJR125C	friants2003|copica2007	17344475|12967568
YJR125C (u) YGL206C	friants2003|copica2007	17344475|12967568
YGL206C (u) YKL135C	yeungbg2001|yeungbg1999	10564262|11489214
YKL135C (u) YGL206C	yeungbg2001|yeungbg1999	10564262|11489214
YGL206C (u) YKR021W	o'donnellaf2010	20739461
YKR021W (u) YGL206C	o'donnellaf2010	20739461
YGL206C (u) YLR170C	copica2007	17344475
YLR170C (u) YGL206C	copica2007	17344475
YGL206C (u) YLR206W	newphertm2005|baggettjj2003	14704157|15992543
